epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4362,1.6521,4.62187,0.0187,0.00965,0.43991,0.06685,0.02853,1.49992,4.88809,0.0165,0.000654762,0.000654762,0.000654762
2,103.314,1.57987,3.98597,0.01664,0.36717,0.12472,0.13603,0.0621,1.6166,4.24952,0.01857,0.00119061,0.00119061,0.00119061
3,147.746,1.64366,3.67102,0.01903,0.31376,0.26531,0.21246,0.09554,1.67572,3.72328,0.01904,0.00159445,0.00159445,0.00159445
4,191.716,1.62662,3.36034,0.01777,0.37271,0.30385,0.27517,0.12667,1.66811,3.2343,0.01972,0.001406,0.001406,0.001406
5,235.512,1.68725,3.09087,0.01789,0.36984,0.32653,0.27477,0.12356,1.78951,2.99445,0.02203,0.001208,0.001208,0.001208
6,279.485,1.64421,2.91481,0.01746,0.39233,0.32766,0.29901,0.13899,1.71121,2.89099,0.01992,0.00101,0.00101,0.00101
7,323.795,1.61232,2.72196,0.01732,0.43487,0.34921,0.33443,0.15939,1.65093,2.72373,0.01906,0.000812,0.000812,0.000812
8,368.61,1.61197,2.62244,0.01753,0.45187,0.36395,0.35537,0.18048,1.61814,2.58898,0.0189,0.000614,0.000614,0.000614
9,414.26,1.54988,2.51117,0.01621,0.43237,0.36961,0.3533,0.18739,1.54907,2.51405,0.01756,0.000416,0.000416,0.000416
10,462.309,1.53592,2.41389,0.01601,0.44737,0.38435,0.36845,0.19722,1.54081,2.44704,0.01748,0.000218,0.000218,0.000218
