epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1483,1.64182,3.79381,0.014,0.01187,0.54082,0.07354,0.0335,1.53764,4.7889,0.01791,0.000654762,0.000654762,0.000654762
2,114.423,1.54829,3.33907,0.01293,0.28666,0.16813,0.13443,0.06689,1.62693,4.10285,0.01878,0.00130835,0.00130835,0.00130835
3,158.918,1.62995,3.11075,0.01337,0.36886,0.12698,0.17001,0.07237,1.62275,3.69703,0.01862,0.00194873,0.00194873,0.00194873
4,229.145,1.64674,2.90987,0.01429,0.30853,0.28684,0.22294,0.09795,1.78834,3.41864,0.02213,0.0019406,0.0019406,0.0019406
5,274.803,1.67235,2.71976,0.01418,0.38197,0.34921,0.30022,0.13295,1.77626,3.00977,0.02142,0.0019208,0.0019208,0.0019208
6,320.853,1.67467,2.5387,0.01419,0.37062,0.32447,0.27438,0.12245,1.72802,2.7622,0.02066,0.001901,0.001901,0.001901
7,365.285,1.69562,2.43854,0.01441,0.46019,0.35147,0.33911,0.15232,1.76943,2.57609,0.02114,0.0018812,0.0018812,0.0018812
8,410.377,1.69179,2.34595,0.01482,0.46581,0.37964,0.36798,0.17488,1.72627,2.4775,0.01999,0.0018614,0.0018614,0.0018614
9,454.988,1.69338,2.33865,0.01583,0.41816,0.38095,0.32573,0.1455,1.74563,2.57854,0.02024,0.0018416,0.0018416,0.0018416
10,499.309,1.66165,2.2926,0.01484,0.40353,0.40136,0.32521,0.15141,1.79162,2.44356,0.02033,0.0018218,0.0018218,0.0018218
11,543.708,1.66168,2.25335,0.01406,0.46729,0.40249,0.39609,0.19271,1.71785,2.24652,0.02056,0.001802,0.001802,0.001802
12,597.911,1.64432,2.22135,0.01468,0.47836,0.39002,0.3831,0.18671,1.76687,2.23811,0.02089,0.0017822,0.0017822,0.0017822
13,645.919,1.65872,2.15415,0.01465,0.45616,0.36898,0.36669,0.1754,1.77628,2.30921,0.02137,0.0017624,0.0017624,0.0017624
14,690.323,1.66765,2.11517,0.01482,0.47594,0.4161,0.39047,0.19191,1.6962,2.23729,0.0209,0.0017426,0.0017426,0.0017426
15,734.5,1.65339,2.04362,0.01478,0.48129,0.41043,0.40364,0.19448,1.76183,2.19872,0.02093,0.0017228,0.0017228,0.0017228
